Price,Owners
29.99,140.657
19.99,52.61
29.99,18.261
14.99,32.61
59.99,11.74
39.99,68.48
19.99,9.348
59.99,139.352
0,103.482
19.99,162.614
19.99,23.479
14.99,175.006
14.99,27.175
14.99,7.826
11.99,5
2.99,4.131
14.99,16.087
29.99,20.87
15.99,114.351
19.99,7.174
4.99,16.087
19.99,8.261
10.79,4.565
19.99,47.175
39.99,16.957
12.99,7.609
9.99,8.044
19.99,4.131
9.99,34.349
5.99,11.74
19.99,48.045
49.99,56.306
9.99,26.088
0,2.396.597
0,138.048
49.99,9.783
14.99,30.653
0,237.399
0,148.918
14.99,111.96
1.99,15.435
39.99,16.305
19.99,135.222
14.99,20.653
0,124.352
14.99,7.174
59.99,16.957
24.99,20.435
9.99,3.913
0.99,13.261
0,45.654
19.99,10.653
59.99,22.609
39.99,30.436
14.99,23.044
0,221.746
19.99,14.348
29.99,14.783
8.99,5.652
19.99,17.827
14.99,37.61
39.99,8.913
29.99,6.739
0,135.004
0,1.466.133
39.99,23.044
39.99,20.87
19.99,22.392
0,50.219
29.99,544.582
0,116.091
59.99,34.566
14.99,32.392
14.99,4.783
6.99,36.523
24.99,49.349
39.99,24.566
26.99,7.609
19.99,45.001
14.99,53.263
19.99,114.351
19.95,8.913
59.99,199.789
9.99,52.393
1.99,3.913
19.99,34.132
0.99,11.522
0.69,14.783
0,226.746
6.99,9.348
2.99,7.609
15.99,5
39.99,31.74
9.99,16.087
0,759.154
4.99,12.609
19.99,33.479
0,461.536
0.99,20.001
9.99,10.218